Sample AUC
BOMV_B1 233.7580028854618
BOMV_B10 155.68970268542725
BOMV_B11 125.58141377619143
BOMV_B12 105.0377157578913
BOMV_B14 198.8556103714409
BOMV_B15 165.39615185720658
BOMV_B16 221.87375322574437
BOMV_B18 179.29344551038815
BOMV_B2 153.36020346351566
BOMV_B20 118.67929443379832
BOMV_B21 163.199555417293
BOMV_B22 167.0035068117238
BOMV_B23 171.19994372134974
BOMV_B24 169.3987703151256
BOMV_B26 209.85922211870283
BOMV_B27 85.55990840434579
BOMV_B28 164.3694132426904
BOMV_B29 131.87497116820884
BOMV_B3 88.62814284322549
BOMV_B30 166.3638243610869
BOMV_B31 172.56565266958143
BOMV_B32 83.4356827539257
BOMV_B33 62.21514051463443
BOMV_B34 239.00109978127176
BOMV_B35 138.93263191360313
BOMV_B36 215.37080495295243
BOMV_B37 153.93547883637117
BOMV_B38 92.76942560042897
BOMV_B39 145.1247276481478
BOMV_B4 79.83219514914427
BOMV_B40 232.16069385539225
BOMV_B41 88.47858089272582
BOMV_B42 113.4210383377154
BOMV_B43 113.1192253805937
BOMV_B44 85.2331171756277
BOMV_B45 135.65297704901056
BOMV_B46 105.94755447252416
BOMV_B47 163.22643673103153
BOMV_B48 197.16265879766854
BOMV_B49 238.04424972158122
BOMV_B50 166.80321590575198
BOMV_B51 198.9153526432177
BOMV_B52 155.86750468038133
BOMV_B53 191.87993100450163
BOMV_B54 130.25818202873052
BOMV_B55 192.88279760081767
BOMV_B56 83.91816646161736
BOMV_B57 182.92210458600624
BOMV_B58 238.82514257840668
BOMV_B59 81.40707663714848
BOMV_B6 53.745401098878155
BOMV_B60 188.06404713478454
BOMV_B61 90.52676028934445
BOMV_B62 266.7726720733385
BOMV_B63 105.86909623192506
BOMV_B64 278.6796980957848
BOMV_B65 68.63057595302848
BOMV_B66 100.0279154649646
BOMV_B67 107.74949296743077
BOMV_B68 178.16138057200808
BOMV_B69 172.20908142095018
BOMV_B7 33.05723073944949
BOMV_B70 143.44075487608148
BOMV_B71 145.99139344349655
BOMV_B72 236.39742528953573
BOMV_B73 194.81746472652992
BOMV_B74 120.62513533256218
BOMV_B75 168.69008796994666
BOMV_B76 154.64889891424878
BOMV_B77 163.64087906198878
BOMV_B78 122.74421204330844
BOMV_B79 61.65125628482516
BOMV_B8 129.28940984464631
BOMV_B80 127.25762142776972
BOMV_B81 136.82740697381303
BOMV_B82 175.62152150802282
BOMV_B83 123.08019754787848
BOMV_B84 128.85712674352007
BOMV_B85 147.5979457386456
BOMV_B86 120.1253720254769
BOMV_B87 152.66797342910024
BOMV_B9 142.92961929521385
BOMV_DC52 200.83476268347982
BDBV_B1 373.5572879002123
BDBV_B10 148.10114334805786
BDBV_B11 101.27645782737447
BDBV_B12 163.79707406536087
BDBV_B14 240.10941457606322
BDBV_B15 186.68156174457
BDBV_B16 292.57569627437823
BDBV_B18 256.3377932833114
BDBV_B2 161.6953908975837
BDBV_B20 140.1661370695708
BDBV_B21 169.27907428250333
BDBV_B22 207.14824597726243
BDBV_B23 211.9695869652176
BDBV_B24 287.1976508857165
BDBV_B26 340.2305288262302
BDBV_B27 77.57995772119374
BDBV_B28 233.98708288614503
BDBV_B29 163.3150059598045
BDBV_B3 206.62964373961566
BDBV_B30 143.36674062145966
BDBV_B31 149.62531759111872
BDBV_B32 123.8750331622553
BDBV_B33 92.37513364202945
BDBV_B34 260.5249713308273
BDBV_B35 188.58682673304787
BDBV_B36 333.2365402735248
BDBV_B37 163.57320665657633
BDBV_B38 77.98132879467589
BDBV_B39 223.73350697113312
BDBV_B4 105.49669081473866
BDBV_B40 317.7538785592657
BDBV_B41 169.8395248566132
BDBV_B42 113.9162836574848
BDBV_B43 181.39935358724574
BDBV_B44 120.20470492562214
